IDENTITY,,,CLASSIFICATION,,,,TALENT & REINCARNATION,,,,,,BOARD MECHANICS,,,,RESEARCH TRACKING,,,
Unit ID,Display Name,Description,Rarity,Faction,Primary Role,Secondary Role,Has Talents?,Talent Unlock Lvl (T1),Talent Unlock Lvl (T2),Talent Unlock Lvl (T3),Talent Unlock Lvl (T4),Has Reincarnation?,Displays Stat Number(s)?,How Many Numbers?,Has Board Animations?,Board Manipulation?,Research Status,Talent Tree Documented?,Animations Documented?,Last Updated
alchemist,Alchemist,"The Alchemist doesn't attack monsters directly. Instead, he leaves acid puddles in random spots around the field of battle. The puddles last longer with a Mana Power-Up. The damage puddles do depends on the unit merge rank and mana power-up.",Rare,Technogenic Society,Support,,Yes,9,11,13,15,No,,,,,,,,4/2
archer,Archer,The Archer attacks the very first target on the path. Increases its attack speed with each Mana Power-Up,Common,Forest Alliance,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
banshee,Banshee,"When on a tile bordering the path, the Banshee activates and starts periodically dealing damage to monsters around her. When Banshees are inactive, they periodically lose their merge rank and give an Orb of Fear to a random active Banshee. Each Orb of Fear increases the damage inflicted. When using the mana ability, all Banshees on the battlefield will start shrieking, inflicting damage to all monsters on the battlefield, while bosses and mini bosses become barred from using their abilites for 2 sec. The effect is used once per every Shriek's duration. The type of damage inflicted by the Banshee is venom. The Banshee is impervious to stunning and paralyzing effects, as well as boosts and defuffs affecting the attack interval.",Legendary,Dark Domain,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
banner,Banner,"The Banner does not attack, but increases the attack speed of adjacent units. If a unit is affected by multiple banners, the effect of the Banner with the highest merge rank will be applied.",Rare,Kingdom of Light,Support,,No,,,,,No,,,,,,,,4/2
bard,Bard,"Instead of classic Mana Power-up, this unit has two modes toggled by using the Mana Power-up button. The mode is shared by all Bards. In Attack mode, Bards attack the first target; the projectile then ricochets to a different random monster several times. In the Music mode, Bards are spending mana to accumulate Inspiration, increasing the Inspiration level, and do not attack. The Bard's damage increases in proportion to the Inspiration levels accumulated. Also in the Music mode, Bards make monsters more vulnerable to their attacks. When the amount of mana falls to 100% of the summoning cost, the process of accumulating Inspriation slows down by a factor of 20. After Inspiration level 300, the damage bonus is reduced to 0.25%, after Inspiration level 1000, it is reduced to 0.1%.",Legendary,Kingdom of Light,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
blade_dancer,Blade Dancer,The Balde Dancer attacks the very first target on the path. The Blade Dancer gains increased attack speed and tosses an extra blade at a random target if there are no other Blade Dancers in the adjacent cells. She also deals increased damage for each Blade Dancer on the field. The maximum damage bonus is reached with eight Blade Dancers present.,Legendary,Forest Alliance,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
bombardier,Bombardier,The Bombardier attacks the first non-stunned target on the path that can be stunned. Attacks have a chance of stunning the target. Monsters affected by this cannot move. You'll be much less likely to stun targets a second time.,Common,Technogenic Society,Support,,No,,,,,No,,,,,,,,4/2
boreas,Boreas,"Boreas attacks the very first target on the path. Periodically changes firing phase. The first phase sees a significantly higher rate of fire. During the second phase, all Boreas attacks become critical. Phase durations and the intervals between them depend on the unit level.",Legendary,Forest Alliance,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
bruiser,Bruiser,"The Brusier attacks the first target. If there are 5 monsters present on its side, has a 15% chance to become enraged when a new monster appears. When enraged, receives a bonus to attack speed and damage, and also an area attack. When the enraged state ends, cannot attack or become enraged again for 3 seconds.",Legendary,Magic Council,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
catapult,Catapult,"The Catapult hurls a projectile at the first target, stunning it and dealing area damage. The target can be stunned again only after 9 seconds have elapsed since the start of the stun.",Epic,Kingdom of Light,DPS,,No,,,,,No,,,,,,,,4/2
chemist,Chemist,"The Chemist attacks the first target that does not yet have the Armor Destruction effect. When triggered, the effect increases the damage recieved by the target. If all of the enemies are already affected, he attacks the first target instead. If more than one Chemist hits the same target, the effect from whichever hits first is applied.",Rare,Technogenic Society,Support,,No,,,,,No,,,,,,,,4/2
clock_of_power,Clock of Power,"In PvP mode, the Clock of Power passively affects your opponent's units, reducing their attack speed depending on the sum of their merge ranks. This effect ignores shields and does not make them disappear. After Merging, the Clock signifiantly decreases the attack speed of several units.",Legendary,Kingdom of Light,Support,,No,,,,,No,,,,,,,,4/2
cold_mage,Cold Mage,"The Cold Mage attacks the first target. The Cold Mage's attacks have a slowing effect on monsters. The maximum slowing effect is 50%. Once that number is reachesd, the cold mage switches to the next target.",Common,Magic Council,Support,,Yes,9,11,13,15,No,,,,,,,,4/2
crystalmancer,Crystalmancer,"The Crystalmancer attacks the first target. Damage dealt by every Crystalmancer increases with each hit against the same target. The damage increase is individual for each target and does not reset on target change. Triple damage is attained after approx. 30 hits, fivefold damage after 90 hits.",Epic,Dark Domain,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
cultist,Cultist,"The Cultist attacks the first target and gains an attack against an additional target for every Cultist present in an adjacent tile. A Cultist surrounded by other Cultists on all sides enters an alternate phase with increased damage and an area attack, also increasing the criticial attack chance for the adjacent Cultists. The Cultist's active ability is Sacrifice. Once activated, it destroys Cultists at corner tiles, returning mana to summon a new unit and increasing damage in proportion to the number of Cultists sacrificed.",Legendary,Dark Domain,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
demon_hunter,Demon Hunter,"The Demon Hunter attacks severl first targets in the amount equal to the merge rank: one target at rank 1, seven at rank 7. Shots are allocated among the targets without losing any projectiles. Every Demon Hunter Receives an additional damage bonus, depending on the total combined merge rank of the Demon Hunters on the field. On reaching 20 total combined merge rank, the Hunters receive an extra 25% damage, and on reaching 40 they transform to their demonic form and recieve and extra 50% damage.",Legendary,Magic Council,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
demonologist,Demonologist,"In PvP mode the Demonologist, when merged, summons a big monster to the opponent's side. This monster has increased health compared to regular ones, and you receive mana for its death. Mana Power-up lowers the rank of the Demonologist of the highest merge rank and summonsa monster to the opponent's side. Does not require mana, but has a cooldown.",Legendary,Dark Domain,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
dryad,Dryad,"The Dryad attacks the first target. Instead of merging the usual way, increases the merge rank of a unit she merges with.",Legendary,Forest Alliance,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
earth_elemental,Earth Elemental,"The Earth Elemental attacks the first target and increases venom attack damage against monsters. When attacking, has a chance (limited by interval) to throw a special projectile at a monster, infecting them to increase the venom damage they recieve for each infection charge. The Earth Elemental's attacks also inflict increased damage for every infection charge on the monster.",Epic,Forest Alliance,Support,,No,,,,,No,,,,,,,,4/2
enchanted_sword,Enchanted Sword,"The Enchanted Sword attacks a random target, and its attacks inflict area damage. Merging a blue Sword will increase the damage inflicted by the player's random units, and merging a red Sword will decrease the damage inflicted by the opponent's random units. Enhancements have cumulative effects, and when the maximum buffs are reached, the unit will receive an increase to its critical attack chance. Repeated weakening becomes Exhaustion, temporarily increasing its effect before completely disappearing. If a player's deck contains a Knight Statue unit as well as a Sword, the effect of the enhancement is reduced by 5 times.",Legendary,Magic Council,Hybrid,,Yes,9,11,13,15,Yes,,,,,,,,4/2
engineer,Engineer,"The Engineer attacks the first target. If there is another Engineer in an adjacent cell, they are considered linked. For every linked Engineer the damage inflicted by all Engineers in the chain is increased.",Epic,Technogenic Society,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
fire_mage,Fire Mage,The Fire Mage attacks the very first target on the path. Each attack summons a firey explosion that does damage to all monsters around the target.,Common,Magic Council,DPS,,No,,,,,No,,,,,,,,4/2
franky_and_stein,Franky & Stein,"Stein is always on the path, pursuing the first monster. Instead of attacking, Franky sends signals to Stein, causing him to preform an attack for each signal. The rate of Franky sending signals increases with attack speed. Stein's attack damage is a sum of values from every Franky on the field. Mana Power-up moves Stein to the first monster dealing 70% of Steins critical damage in the area. Up to 3 movements can be performed in a row. Movements have a cooldown time of 10 sec. When any big summoned monster (e.g. Mari's slime, Demonologists monster, etc) is killed by the opponents, Stein gains 1 bolt that increases the damage he deals by 5% up to 200 bolts, or by 1% after that number. When merged, Franky summons a big monster to the enemy's path. Stein's new abilities: 30 Bolts: attack speed is increased by the factor of 2, 60 bolts: attack radius is increased by the factor of 2.",Legendary,Technogenic Society,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
frost,Frost,"Frost attacks the very first target on the path. Periodically applies Blizzard to all monsters on the path, which slows them and applies Frostbite. The effect of multiple Blizzards stacks. The Frostbit effect deals periodic damage to monsters every .4 seconds. Repeatedly applying Blizzard applies an additional Frostbite effect. Each stack increases Frostbite damage by 100%. The Blizzard effect's slowing power increases with merge rank. The maximum slowing effect is 50%.",Legendary,Dark Domain,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
gargoyle,Gargoyle,"The Gargoyle attacks the first target on the path. There's some proability that it can appear in stoney form, reinforcing neighboring gargoyles and granting them additional area attacks. The damage inflicted by the attack will depend on the stone Gargoyle's merge rank. In its stoney form, the Gargoyle is invulnerable to negative effects.",Epic,Kingdom of Light,DPS,,No,,,,,No,,,,,,,,4/2
genie,Genie,"The Genie attacks the first target. Appears in the activated state and activates other Genies in the line. When an activated Genie attacks, it creates a temporary vortex on the path. The vortex follows the path to the next center and also deals damage around itself. A Genie cannot create another vortex until the previous one has disappeared, and the duration of the activated state is time-limited. A Genie's Mana Power-up does not require mana, but has a cooldown. Mana Power-up causes a series of attacks that deal damage to the area and the first monster. The damage bonus from each activation after 200 decreases to 0.65%.",Legendary,Magic Council,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
grindstone,Grindstone,"The Grindstone does not attack but allows the adjacent units to inflict additional damage. If a unit is affected by several Grindstones, the effect from the Grindstone with the highest merge rank is applied. The additional damage caused by attacking multiple targets is significantly reduced.",Rare,Technogenic Society,Support,,Yes,9,11,13,15,No,,,,,,,,4/2
gunslinger,Gunslinger,The Gunslinger attacks the first target. Alternates between two modes: standard firing and a rapid Shootout mode with greatly increased attack speed and multi-target hits. Mana Power-up triggers Shootout mode instantly.,Legendary,Dark Domain,Hybrid,,Yes,9,11,13,15,Yes,,,,,,,,4/2
harlequin,Harlequin,"The Harlequin can turn into a copy of a unit with the same merge rank. The resulting unit has reduced damage based on the Harlequin's levels. The abilities of units that do not deal damage will not change at all. The effect remains until the unit is merged with another one, or it is moved by Portal Keeper. The Clown unit in decks with a Harlequin always fails when attempting to copy units.",Legendary,Dark Domain,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
hex,Hex,The Hex does not attack directly. It adds an instant-kill chance to all units on the four adjacent tiles. The probability of instant kill increases with merge rank.,Legendary,Dark Domain,Support,,No,,,,,No,,,,,,,,4/2
hunter,Hunter,The Hunter attacks a random target and deals extra damage with the first shot at each new target.,Common,Forest Alliance,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
inquisitor,Inquisitor,"The Inquisitor attacks the first target. Damage increases with each consecutive hit on the same target, up to a maximum of 500% base damage. When 1, 4, or 7 Inquisitors are on the board simultaneously, they activate a special ability granting increased attack speed and area-of-effect damage. Knight Statue adjacency provides a significant additional buff.",Legendary,Kingdom of Light,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
ivy,Ivy,The Ivy attacks the first target. Applies a poison (venom) effect that deals damage over time. Multiple Ivy units stack their poison effects on the same target.,Epic,Forest Alliance,Support,,No,,,,,No,,,,,,,,4/2
knight_statue,Knight Statue,"The Knight Statue increases the attack speed of adjacent units. If you have an even number of Knight Statues, they become activated. When activated, the Knight Statue's bonus to attack speed is increased, and the units additionally gain increased chance of critical damage. The attack speed increase grows with merge rank, as does the critical damage chance. If several Statues are affecting the same unit, the effect from the Statue with the highest merge rank is applied. If the deck contains the Enchanted Sword unit in addition to the Knight Statue, the former has its boost effect reduced fivefold.",Legendary,Kingdom of Light,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
kobold,Kobold,"There are 2 Mine tiles on the battlefield. If a Kobold ends up on this kind of tile, he vanishes after a small delay and gives 2 ore for each of his merge ranks to the player. Ore increases the damage dealt by all units on the field. Upon reaching max ore limit, the damage increase bonus is stopped. When using Mana Power-up, each Mine moves to the player's side. If there is less Kobolds than mines, excess Mines are placed randomly. If the player's deck contains an Enchanted Sword or a Knight Statue in addition to the Kobold, the effect is reduced by a factor of 5.",Legendary,Technogenic Society,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
lightning_mage,Lightning Mage,"The Lightning Mage attacks the first target. Each attack chains to multiple additional targets, dealing decreasing damage with each chain. Higher merge rank increases chain count.",Common,Magic Council,DPS,,No,,,,,No,,,,,,,,4/2
magic_cauldron,Magic Cauldron,The Magic Cauldron does not attack directly. It periodically generates mana for the player. Mana generation rate increases with merge rank and mana power-up levels.,Rare,Magic Council,Mana Generator,,Yes,9,11,13,15,No,,,,,,,,4/2
meteor,Meteor,"The Meteor attacks the first target. When merged, drops a Meteorite down on the monsters that are the first on the path, dealing critical damage. Deals double damage to bosses and mini bosses.",Legendary,Magic Council,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
mime,Mime,"The Mime attacks the first target. Its unique trait is that it can merge with any unit of the same merge rank, regardless of type. This makes it a flexible merge partner that can clear the board of unwanted units.",Epic,Dark Domain,Support,,No,,,,,No,,,,,,,,4/2
minotaur,Minotaur,"The Minotaur attacks the first target on his path. Causes an earthquake periodically in a random area. Within its radius, monsters are slowed and damage is inflicted on them periodically. When merged, the Minotaur summons Rockfall, which slows monsters down even more and inflicts damage equal to ⅔ of missing health for 4 seconds.",Legendary,Kingdom of Light,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
monk,Monk,"The Monk attacks the first target. When you build a horizontal line of Monks, each Monk in that line gains increased damage, and each Monk gains increased attack speed. When you build a vertical line, each Monk gains increased attack speed. A Monk located at the intersection of two lines finds Harmony, receiving both buffs and an additional damage bonus as well. Applying a Mana Power-up to a Monk requires no mana; instead, it has a time limit and a cooldown. Applying a Mana Power-up to a Monk increases their damage and grants area damage to Monks in the state of Harmony.",Legendary,Kingdom of Light,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
phoenix,Phoenix,"Deals area attacks, and periodically becomes inactive. Merging Phoenixes gives a Charge of Awakening for each of the unit's merge ranks. Tapping an inactive Phoenix makes him enter active state, expending 1 Charge of Awakening and granting a Flame Particle for each rank. Tapping the Mana Power-up button grants 2 Charges of Awakening. Depending on the amount of Flame Particles, Phoenixes gain new abilities, and also increase the damage done with them by 1.75% up to 500 particles and by 0.75% after that number. 10 Flame Particles: damage is increased; 50 Flame Particles: attack speed is increased.",Legendary,Forest Alliance,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
plague_doctor,Plague Doctor,"The Plague Doctor attacks the first target. Does not deal direct damage — instead infects the target, causing it to leave a damaging poison cloud upon death. Clouds persist and deal area damage. Cannot generate clouds without other units killing infected enemies.",Epic,Dark Domain,Support,,No,,,,,No,,,,,,,,4/2
poisoner,Poisoner,The Poisoner attacks the first target. Applies a stacking poison (venom) effect that deals periodic damage. Multiple Poisoner attacks stack the effect.,Common,Forest Alliance,Support,,No,,,,,No,,,,,,,,4/2
portal_mage,Portal Mage,"The Portal Mage attacks a random target on the path. The attack has a chance to teleport the target and a few monsters in a small radius to the start of the path; the probability of teleporting the same target again is greatly reduced. The chance to cause teleportation increases with Mana Power-up. When merged, transports bosses and mini bosses, as well as a few frontmost monsters. Bosses and mini bosses can be teleported no more than once. The Portal Mage does not move any monsters summoned by players, either. All monsters deal damage in a small radius around them after being teleported.",Epic,Magic Council,Support,,Yes,9,11,13,15,No,,,,,,,,4/2
priestess,Priestess,"The Priestess attacks the very first target on the path. Generates mana when merging, destroying, or reducing the Merge Rank of this unit. The amount of Mana generated depends on the unit's merge rank.",Rare,Kingdom of Light,Mana Generator,,Yes,9,11,13,15,No,,,,,,,,4/2
pyrotechnic,Pyrotechnic,"The Pyrotechnic attacks a random target. With an odd number of Pyrotechnics on the field, they deal area damage, increasing it in proportion to their merge rank. With an even number of Pyrotechnics, they do not receive any bonuses.",Epic,Technogenic Society,DPS,,No,,,,,No,,,,,,,,4/2
reaper,Reaper,"The Reaper attacks a random target on the path. The Reaper's attacks have a chance of instantly killing small monsters. The instant kill chance increases with the unit's level and Mana Power-up. Instant kill has a chance of summoning a small ghost, which does not generate mana after dying, on the opponent's side. Ghosts cannot be summoned in Co-Op and single player modes.",Epic,Dark Domain,Hybrid,,Yes,9,11,13,15,No,,,,,,,,4/2
riding_hood,Riding Hood,"The Riding Hood attacks the first target. When merging with another unit of the same rank or lower, she absorbs the unit and transforms into a Wolf, while her absorption counter increases by the number of ranks absorbed. Each Riding Hood on the field grants mana for the units absorbed by Riding Hoods / Wolves, and gains additional damage increase and other boosts depending on the value of the absorption counter. 1 absorption: increases attack speed. 5 absorptions: gains an area attack. 9 absorptions: increases critical damage. 10 absorptions: gains a temporary damage bonus. A subsequent absorption activates the temporary bonus again. Every boost received, except for the temporary one, also increases the unit's damage.",Legendary,Technogenic Society,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
robot,Robot,"Attacks the first target on the path. For each merge, the Robot receives a Wrench. When you tap the Robot, it is Upgraded: 1 Wrench is spent and the Robot receives Parts. Each Part increases the Robot's damage by 7.6% up to 40 Parts and by 1% after that, also adding new abilities: 1 Part: Gains area attack. 4 Parts: Gains a bonus to attack speed. 8 Parts: Gains a damage bonus. Using the Mana Power-up button gives the Robot 1 Wrench.",Legendary,Technogenic Society,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
rogue,Rogue,The Rogue attacks the first target on the path. The Rogue's attacks inflict random additional damage to the target.,Common,Forest Alliance,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
scrapper,Scrapper,"The Scrapper attacks the first target. When merging with a unit, the Scrapper absorbs it. Merging or absorbing gives the Scrapper mana and a salvage charge. After each 4th charge received, it will increase the merge rank of a random unit that is not a Scrapper. The Scrapper has a chance to perform a bonus boost, increasing the merge rank of an additional 1 unit. The Scrapper's Mana Power-up process reduces the rank of a random Scrapper of the highest merge rank (but a minimum of rank 2). It does not require mana, but has a cooldown. If there is a Dryad in the deck in addition to the Scrapper, additional 3 charges will be required to increase a unit's rank.",Legendary,Technogenic Society,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
sea_dog,Sea Dog,"When merging the Sea Dog, a special tile appears on the field. If any unit on the tile is merged or its rank is increased, you'll receive a treasure. Treasure can be either rare or regular. The regular ones will temporarily increase the attack speed of all the Sea Dogs and add 1 to the affected treasure counter. There is a 15% chance of rare ones being found, each counting as 3 collected treasures, and yielding mana equal to 200% of the cost of summoning them. Each time a treasure is found, the Sea Dogs will increase their damage and area damage. A Mana Power-up will move these tiles randomly around the field.",Legendary,Dark Domain,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
sentry,Sentry,"The Sentry attacks the very first target on the path. Every 5th attack additionally releases an Enhanced Bolt, which deals increased damage to a random target. The damage grows with the Sentry's merge rank.",Rare,Kingdom of Light,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
shaman,Shaman,"When merged in PvP mode, the Shaman targets a random tile on the opponent's field. If a unit is hit, it will reduce the rank of that unit by one after a short period of time. If the opponent's unit is of the first merge rank, the unit will disappear when the rank is reduced. There is a chance, depending on the unit level, that the ability may be enhanced, reducing the opponent's unit rank by two. When merging in the Co-Op mode, the Shaman targets a random allied unit with the ability. In this case, the merge rank of the ally's unit is increased by one. When merging in single player modes, the Shaman targets a random allied unit with the ability. On hit, the merge rank of the allied unit will be increased by one. There is a chance, depending on the unit level, that it might be increased by two instead.",Legendary,Dark Domain,Support,,No,,,,,No,,,,,,,,4/2
sharpshooter,Sharpshooter,"The Sharpshooter attacks the very first target on the path. Mana Power-up activates the Magical Shot fired at the first target, dealing guaranteed critical damage to the target area. Up to 3 shots can be performed in a row. Each shot has the cooldown time of 10 sec.",Rare,Technogenic Society,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
spirit_master,Spirit Master,"The Spirit Master attacks the first target and has 11 levels of Mana Power-up. The duration of Mana Power-up is also limited, and when the effect expires, the unit returns to the previous level. Every level of Mana Power-up increases the damage and critical damage the Spirit Master inflicts, in proportion with the number of levels.",Legendary,Forest Alliance,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
stasis,Stasis,The Stasis attacks the first target on the path. Periodically hurls a control sphere at a random point on the path to stop monsters in their tracks. Sphere throwing interval will depend on the level of the unit and its merge rank. The sphere lifetime will depend on the level of the unit and its mana power-up.,Legendary,Magic Council,Support,,No,,,,,No,,,,,,,,4/2
summoner,Summoner,The Summoner attacks the first target on the path. When merging it creates a random unit of the first merge rank on a random tile on the battlefield. There's a small chance the summoned unit will have a higher merge rank. The Summoner's active ability is Replacement; when activated the last unit summoned by the Summoner will turn into another random unit.,Legendary,Forest Alliance,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
tesla,Tesla,"The Tesla attacks the first target on his path. When units on adjacent tiles are merged or increase rank, he receives 1 charge. When the merge rank is reduced, he loses 1 charge. Every charge increases Tesla's attack. If the number of charges is equal to the unit's merge rank, the Tesla becomes charged, attacking 4 additional targets and dealing half of his damage to them.",Legendary,Technogenic Society,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
thunderer,Thunderer,The Thunderer attacks the first target. Each attack has a chance to call down a powerful lightning strike dealing area damage and briefly dazing the target. Lightning damage and strike chance increase with mana power-up. Daze prevents the target from using abilities briefly.,Epic,Magic Council,DPS,,No,,,,,No,,,,,,,,4/2
trapper,Trapper,"The Trapper attacks the first target. Periodically throws two nets at random points on the path, slowing down monsters and weakening their armor. The slowing effect damage is reduced when a target is affected by more than one net. When using Mana Power-up, the Trappers on the field launch projectiles with traps at the first target.",Legendary,Forest Alliance,Hybrid,,Yes,9,11,13,15,Yes,,,,,,,,4/2
treant,Treant,"The Treant attacks the first target. When appearing, always has the merge rank of 1. When two Treants merge, a new unit is not formed; instead, the Treant receives 2 leaf charges for every rank of the Treants used for merging. Units and abilities that increase rank give 1 leaf charge instead of increasing rank. Once every 6 leaf charges, the Treant increases its rank, but it only has 4 merge ranks.",Legendary,Forest Alliance,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
twilight_ranger,Twilight Ranger,"Deals area damage. When killing a monster (except summoned ones), a random Twilight Ranger has a chance to claim their Soul, increasing the damage she deals by 1%. After 300 souls, the bonus is reduced to 0.5%. For every 25 souls, the Ranger gains an additional bonus to damage, but only up to 12 times. Killing a boss or mini boss is guaranteed to net a Soul. The amount of Souls received from slain monsters is limited to 20. However, merging or absorbing a Twilight Ranger passes all the accumulated Souls to a random Twilight Ranger nearby, even over that limit. Mana Power-up activates the Magical Shot fired at the first target, dealing guaranteed critical damage to the target area. Up to 3 shots can be performed in a row. Each shot has the cooldown time of 10 sec.",Legendary,Dark Domain,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
twins,Twins,"Twins may appear in either of two forms: Moon or Sun. Moon Twins increase the attack speed of all Twins while the Sun Twins increase the damage dealt. The maximum bonus is at 4 pairs of differently-colored Twins. They rank up only by merging e.g. with a Dryad, or with Twins of identical colors; when merging Twins of different colors, the target Twin loses a rank. Rank increase effects grant particles of light that increase the damage dealt by 5%, or by 1% after 150 particles. Mana Power-up inverts the color of the Twin of the type that is more numerous on the field. The priority is given to a Twin of the lower merge rank and suitable color.",Legendary,Magic Council,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
valkyrie,Valkyrie,"The Valkyrie attacks the first target with area damage. A special Chosen One variant may appear on the field. When a Chosen One is merged or lost, all Valkyries gain Runes of Fate that increase their damage. Losing or merging the Chosen One also triggers additional effects based on talent choices — including morale boosts, board cleanses, or summoning allies. Mana Power-up increases the rank of a random Valkyrie.",Legendary,Kingdom of Light,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
vampire,Vampire,"The Vampire attacks the first target. Each attack bites the target and generates mana for the player. Mana generation rate increases with merge rank and level. At max level, mana generation is approximately 10x the base value. The bite speed (attack interval) is affected by merge rank.",Epic,Dark Domain,Mana Generator,,Yes,9,11,13,15,No,,,,,,,,4/2
wind_archer,Wind Archer,The Wind Archer attacks a random target. Fires arrows in a sweeping arc that damage multiple targets simultaneously. Area of effect and damage increase with merge rank.,Epic,Forest Alliance,DPS,,No,,,,,No,,,,,,,,4/2
witch,Witch,"When merged, the Witch curses an opponent's unit in PvP, or charms an ally's unit in Co-Op. The cursed unit has a 60% chance to convert its damage into the healing of monsters, allowing their health to be increased above 100% of the maximum value. The charmed allied unit increases its damage in proportion to the Witch's attribute value; this bonus is applied to the unit once only, and there is no benefit with repeated use.",Legendary,Magic Council,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
wukong,Wukong,"The Wukong attacks the first target. Creates clones of himself that fight alongside him, with clone count and power scaling through talents. Clones gain strength as Wukong merges and reaches higher ranks. High-upside talent path. Added in Update 35.0. Currently S-tier.",Legendary,Forest Alliance,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
zealot,Zealot,"The Zealot attacks the first target. The more mana the player has accumulated, the more damage the Zealot does. Spending mana reduces his damage accordingly. His damage increases without limit, but the greater your cache of mana, the slower the damage buff grows. Accumulating roughly 1,000 mana achieves double damage, 10,000 mana gives 2.6x damage, and 60,000 mana gives 3x damage.",Rare,Magic Council,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
thrower,Thrower,The Thrower attacks a random target by hurling a projectile. Lower accuracy than targeted units but can hit backline targets. Good for clearing clustered enemy groups.,Common,Kingdom of Light,DPS,,No,,,,,No,,,,,,,,4/2
executioner,Executioner,"The Executioner attacks the first target on the path. If the target's health drops below a certain percentage, the Executioner's attack instantly kills it. Big monsters aren't as susceptible to this effect, and the health cap for an instant kill is lower.",Epic,Dark Domain,DPS,,No,,,,,No,,,,,,,,4/2
cold_elemental,Cold Elemental,The Cold Elemental attacks the first target. Applies a slowing chill effect and deals cold damage. Periodically releases a frost burst affecting all enemies on the path.,Epic,Dark Domain,Support,,No,,,,,No,,,,,,,,4/2
clown,Clown,"When attempting to merge with another unit, has a chance to create a copy of the unit, having the same merge rank. The copy retains all abilities but deals reduced amounts of damage until merged with another unit or cleansed by using special effects. In case of a failure, grants mana, but loses merge rank and becomes stunned for a time. In decks with the Harlequin, the Clown always suffers failure when attempting to copy.",Epic,Kingdom of Light,Support,,No,,,,,No,,,,,,,,4/2
portal_keeper,Portal Keeper,"The Portal Keeper attacks the first target. Can swap with any unit of the same merge rank. The Portal Keeper falls asleep for a little while after moving. When sleeping, it is protected from any negative effects, but cannot move, merge with other units or attack.",Epic,Magic Council,Support,,No,,,,,No,,,,,,,,4/2
corsair,Corsair,"The Corsair attacks the first target. Periodically throws Nasty Bombs and Explosive Bombs onto the enemy path, dealing area damage over their duration. Bomb interval and damage scale with merge rank and mana power-up.",Legendary,Technogenic Society,Support,,No,,,,,No,,,,,,,,4/2