IDENTITY,,,,MECHANICS,,,,,,VISUAL SIGNATURES,,,,INTERACTION,,,TRACKING,,
Spell ID,Display Name,Spell Type,Notes,Full Effect Description,Trigger Condition,Effect Magnitude,Duration (if applicable),Cooldown / Uses per Match,Affects Board Layout?,Visual on Cast (what does casting look like?),Visual on Board (ongoing effect?),Colors / Particles,Duration of Visual,Unit Interactions (list unit IDs affected),Hero Interactions,Board Cells Affected,Research Status,Source / Evidence,Last Updated
absorption_cloning,Absorption Cloning,Active,,Creates an identically ranked copy of the last unit absorbed. The rank of the created unit cannot be higher than 4.,Last unit absorbed,Copy rank ≤ 4,,60,No,,,,,,,All,Researched,Screenshot,2026-04-16
armageddon,Armageddon,Active,,Destroys all monsters on the field; deals 35% damage to bosses and mini bosses.,Activated,35% boss/mini-boss damage,,60,No,,,,,,,All,Researched,Screenshot,2026-04-16
armament,Armament,Active,,"When the ability is activated, grants 20% armor to the opponent's monsters for 10s. When activated in Co-Op, reduces the armor of monsters on your ally's path instead.",Activated,+20% monster armor,10s,60,No,,,,,,,All,Researched,Screenshot,2026-04-16
great_purification,Great Purification,Active,,Cleanses 3 units on the field of negative effects.,Activated,3 units cleansed,,50,No,,,,,,,3 units,Researched,Screenshot,2026-04-16
mana_surge,Mana Surge,Active,,All the mana you receive is increased by 50% for 10s.,Activated,+50% mana received,10s,40,No,,,,,,,All,Researched,Screenshot,2026-04-16
market_trades,Market Trades,Active,,"When activated, changes the cost of 5 summonings to follow, increasing it for your opponent by 20%, and reducing it by 30% for you. In Co-op, reduces the cost of summoning for both players.",Activated,Opp +20% / Self -30% summoning cost (next 5),,35,No,,,,,,,All,Researched,Screenshot,2026-04-16
merge_cloning,Merge Cloning,Active,,Creates an identically ranked copy of the last unit received by merging. The rank of the unit thus created cannot exceed 4.,Last unit merged,Copy rank ≤ 4,,40,No,,,,,,,All,Researched,Screenshot,2026-04-16
oxidation,Oxidation,Active,,Reduces the armor of monsters on the field by 25%.,Activated,-25% monster armor,,60,No,,,,,,,All,Researched,Screenshot,2026-04-16
petrification,Petrification,Active,Not available in Co-Op.,"Turns 4 random units on the opponent's field to stone for 5s, 4s after the activation. The stun effect cannot be removed by cleansing. Not available in Co-Op.",Activated,4 units stunned for 5s (4s delay); unstoppable stun,,60,No,,,,,,,4 random opp units,Researched,Screenshot,2026-04-16
reinforcements,Reinforcements,Active,,"When the ability is activated, summons 2 units to the field if it is possible.",Activated,+2 units summoned,,30,No,,,,,,,All,Researched,Screenshot,2026-04-16
reroll,Reroll,Active,,"After activation, replaces the last unit received (by summoning or by merging) with a random other unit from your deck.",Last unit received (by summoning or merging),Replaces 1 unit,,20,No,,,,,,,1 unit,Researched,Screenshot,2026-04-16